dataset_source,original_row,utterance_text,vocal_warmth,perceived_genuineness,prosodic_attunement,emotional_reaction,interpretation,exploration,empathy,concatenated_reasons,empathy_reason
dataset_1_axis_annotated,0,"I'm not familiar with abseiling, but I'm glad that you felt good about it.",0,0,0,2,1,0,low,"Vocal Warmth Reason: The voice is completely robotic and synthesized, lacking any human warmth. Its flat, mechanical quality is emotionally mismatched with the speaker's pride. The delivery is cold and detached. Perceived Genuineness Reason: The response is delivered by a text-to-speech engine, making it sound inherently inauthentic. The flat tone directly contradicts the positive sentiment of the words 'I'm glad.' This emotional incongruence makes the statement feel completely disingenuous. Prosodic Attunement Reason: The delivery is monotone and robotic, with unnatural pacing and stilted phrasing. There is no prosodic variation or emotional expressiveness to match the speaker's excitement. The overall sound is flat and completely unattuned. Emotional Reaction Reason: The listener explicitly states their emotional reaction to the speaker's experience. The phrase 'I'm glad' is a direct expression of a positive feeling. This meets the criteria for an explicit emotional reaction. Interpretation Reason: The listener acknowledges the speaker's feeling by saying 'you felt good about it.' However, they also explicitly state a lack of understanding of the activity ('I'm not familiar with abseiling'). This shows a weak, surface-level understanding of the emotion without grasping the full context. Exploration Reason: The statement is a terminal one and does not ask any questions. It fails to invite the speaker to share more about the experience or their feelings. There is no attempt to explore the speaker's accomplishment. Detailed Reason: The text attempts to show support by stating 'I'm glad,' but the delivery is completely robotic and devoid of any warmth or genuineness. This vocal coldness creates a stark mismatch with the speaker's expressed pride and joy. The lack of any exploration further contributes to a feeling of conversational closure rather than connection.","[Empathy Reason]: The robotic, cold tone completely contradicts the text's attempt at expressing gladness, creating a detached and unempathetic experience."
dataset_1_axis_annotated,1,"Oh, I see. No, I've never done that.",1,1,1,0,0,0,low,"Vocal Warmth Reason: The listener's tone is neutral and matter-of-fact, lacking any warmth or compassion. The delivery of ""Oh, I see"" is a simple acknowledgment rather than an expression of interest. The overall vocal quality is detached and does not convey emotional support. Perceived Genuineness Reason: The response sounds authentic in its neutrality and directness. The tone is straightforward and not performative or sarcastic. It comes across as an honest, albeit brief, answer to the speaker's question. Prosodic Attunement Reason: The prosody is minimally expressive, with a flat intonation and a slightly quick pace. There is little dynamic range, making the response sound more like a statement of fact than an engaged part of a conversation. The delivery does not attune to the speaker's prior excitement. Emotional Reaction Reason: The text is purely informational, acknowledging the speaker's explanation and stating a fact. It contains no words that express any emotional response to the speaker's experience. The statement is a simple, factual answer. Interpretation Reason: The listener's response does not demonstrate any understanding of the speaker's pride or excitement. It is a literal answer to the implied question of whether they have done the activity. It fails to interpret or reflect on the emotional significance of the speaker's accomplishment. Exploration Reason: The statement is a conversational dead-end, offering a simple ""No"" without any follow-up. It does not ask any questions to learn more about the speaker's experience. The response closes the topic rather than exploring it further. Detailed Reason: The listener's neutral, detached tone combines with a purely factual and conversation-ending statement. This response fails to acknowledge the speaker's excitement or explore their proud accomplishment. The overall effect is disengaged and lacks any emotional connection or support.","[Empathy Reason]: The listener's neutral tone and conversation-ending text create a detached and disengaged interaction, showing low empathy."
dataset_1_axis_annotated,2,what is your job position?,0,0,0,0,0,1,low,"Vocal Warmth Reason: The tone is high-pitched, robotic, and completely devoid of human warmth. It sounds like a synthesized voice, which is emotionally mismatched with the speaker's concern. The delivery is cold and mechanical, offering no sense of comfort or support. Perceived Genuineness Reason: The voice sounds extremely artificial and performative, making it impossible to perceive as sincere. Its robotic quality feels emotionally contradictory to a genuine human interaction. The delivery is completely ungrounded and lacks any authenticity. Prosodic Attunement Reason: The response is delivered in a monotone, robotic fashion with unnatural pacing. The phrasing is stilted and lacks the dynamic prosody of a natural conversation. This creates a jarring and awkward listening experience that is completely misattuned to the speaker. Emotional Reaction Reason: The text is a purely informational question that shows no emotional response to the speaker's problem. It contains no words of comfort, concern, or compassion. The listener moves directly to fact-gathering, ignoring the emotional content of the previous turn. Interpretation Reason: The question does not demonstrate any understanding of the speaker's experience or feelings. It completely sidesteps the implied stress of the situation. The listener makes no attempt to reflect on or interpret the statement that things are not going well. Exploration Reason: The question is a form of exploration, but it is generic and fact-based. It seeks information about the speaker's role rather than their feelings or experience. This is not a specific exploration tied to the speaker's emotional state. Detailed Reason: The response fails on every level of empathy due to its jarringly robotic and artificial tone. This vocal delivery, combined with a purely informational question, ignores the speaker's emotional bid for connection. The result is a cold, detached interaction that completely lacks warmth, understanding, or attunement.","[Empathy Reason]: The robotic tone and purely factual question create a cold, detached, and completely non-empathic interaction."
dataset_1_axis_annotated,3,That's very bad,1,1,1,1,1,0,low,"Vocal Warmth Reason: The listener's tone is neutral and declarative rather than warm or compassionate. It lacks the soothing or caring affect that would signal strong emotional support. The delivery is quick and matter-of-fact, not conveying warmth. Perceived Genuineness Reason: The response sounds neutral and somewhat detached, but not deceptive or sarcastic. The flat tone doesn't fully align with the strong negative sentiment of the words ""very bad."" This lack of emotional congruence makes it feel more like a simple statement than a deeply authentic reaction. Prosodic Attunement Reason: The delivery is natural but minimally expressive, lacking the dynamic range to match the speaker's distress. The pacing is quick and the intonation is relatively flat. It does not prosodically attune to the speaker's likely feelings of anger or frustration. Emotional Reaction Reason: The phrase ""That's very bad"" serves as an implicit emotional reaction by validating the negative nature of the speaker's experience. It expresses disapproval of the manager's actions without explicitly stating the listener's own feelings. This is a weak form of emotional reaction. Interpretation Reason: This response demonstrates a weak and generic understanding of the speaker's situation. Labeling the experience as ""very bad"" acknowledges its negativity on a surface level. However, it does not reflect a deeper interpretation of the speaker's specific feelings, such as betrayal or injustice. Exploration Reason: The listener makes a declarative statement that does not invite further discussion. There is no question or prompt to encourage the speaker to elaborate on their feelings or the situation. The response functions as a concluding judgment rather than an opening for exploration. Detailed Reason: The listener's neutral and quick vocal delivery lacks the warmth and attunement needed to convey genuine concern. The text offers only a generic validation without interpreting the speaker's specific feelings or exploring the experience further. This combination of a detached tone and superficial content results in a low-empathy interaction.","[Empathy Reason]: The neutral tone and generic, non-exploratory text create a detached and minimally supportive response."
dataset_1_axis_annotated,4,Oh yeah what are you doing for your vacation?,2,2,2,1,0,1,low,"Vocal Warmth Reason: The listener's tone is bright and friendly, conveying positive engagement. The pitch rises with curiosity, creating a warm and inviting sound. The delivery of 'Oh yeah' is upbeat and supportive. Perceived Genuineness Reason: The tone sounds authentic and sincerely interested in the speaker's plans. There is no hint of sarcasm or performative engagement. The vocal quality is congruent with the curious nature of the question. Prosodic Attunement Reason: The pacing is natural and conversational, matching the positive, lighthearted context. The initial 'Oh yeah' serves as a smooth transition into the question. The prosody is dynamic and expressive of genuine curiosity. Emotional Reaction Reason: The phrase 'Oh yeah' serves as a very weak, implicit acknowledgment of the speaker's positive statement. However, the response quickly pivots to a factual question. It lacks any explicit reaction to the speaker's feeling of satisfaction. Interpretation Reason: The listener does not reflect on or interpret the speaker's stated feeling of being 'satisfied'. The response moves directly to a logistical question about the vacation. It shows no understanding of the speaker's internal experience. Exploration Reason: The question 'what are you doing for your vacation?' is a generic, factual inquiry. It explores the topic of the vacation but does not probe the speaker's feelings or the experience of satisfaction. It seeks information rather than emotional insight. Detailed Reason: While the listener's tone is warm, genuine, and prosodically attuned, the content fails to connect with the speaker's emotion. The response immediately shifts from the speaker's feeling of 'satisfaction' to a factual question about their plans. This creates a friendly but non-empathic interaction focused on logistics rather than the speaker's experience.","[Empathy Reason]: The warm, engaged tone is mismatched with content that ignores the speaker's emotion, resulting in low empathy."
dataset_1_axis_annotated,5,Sounds rather special to me! Out of the country or to another state?,2,2,2,1,2,2,high,"Vocal Warmth Reason: The listener's tone is friendly and upbeat, especially on the phrase ""special to me!"". The voice has a smiling quality that conveys warmth and positive engagement. This creates a supportive and pleasant auditory experience. Perceived Genuineness Reason: The enthusiastic and positive tone sounds authentic and congruent with the supportive message. There is no hint of sarcasm or performativeness in the delivery. The listener's reframe feels like a sincere and heartfelt observation. Prosodic Attunement Reason: The delivery is expressive, with a notable pitch rise and emphasis on ""special to me!"". The pacing is natural and conversational, flowing smoothly from the statement to the question. This dynamic prosody makes the interaction feel engaging and attuned. Emotional Reaction Reason: The text offers a positive reframe with ""Sounds rather special to me!"". This serves as an implicit emotional reaction, conveying warmth and validation. It shows the listener is positively affected by the speaker's news without stating it explicitly. Interpretation Reason: The listener correctly interprets the underlying significance of seeing family after a year, despite the speaker's downplaying. The phrase ""Sounds rather special to me!"" is a direct reflection of this deeper understanding. It validates the emotional weight of the speaker's experience. Exploration Reason: The listener moves beyond a generic question to ask for specific details about the trip. ""Out of the country or to another state?"" is a targeted question that encourages the speaker to share more. This demonstrates active listening and a desire to understand the speaker's situation more fully. Detailed Reason: The listener combines a warm, genuine vocal delivery with a response that skillfully validates the unspoken importance of the speaker's trip. The reframe ""Sounds rather special to me!"" shows deep listening and interpretation. The specific follow-up question demonstrates genuine curiosity and encourages further sharing.",[Empathy Reason]: The listener's warm tone and validating reframe create a strong sense of connection and understanding.
dataset_1_axis_annotated,6,Oh no that is not good,1,0,0,1,1,0,low,"Vocal Warmth Reason: The listener's tone is not cold, but it lacks genuine warmth or compassion. The pitch is somewhat high and has a slightly exaggerated, performative quality. It sounds more like a scripted reaction than a soothing or supportive expression. Perceived Genuineness Reason: The delivery sounds highly performative and inauthentic. The drawn-out ""Oh no"" and the stilted cadence of ""that is not good"" feel emotionally contradictory to a genuine reaction. The overall effect is one of acting out concern rather than truly feeling it. Prosodic Attunement Reason: The pacing is unnatural and robotic, particularly in the second half of the phrase. The rhythm is stilted and lacks the natural flow of conversational speech. This creates a sense of awkwardness and misalignment with the speaker's straightforward statement of distress. Emotional Reaction Reason: The phrase ""Oh no"" serves as an implicit emotional reaction to the speaker's bad news. It acknowledges the negative situation without explicitly stating the listener's own feelings. This is a weak but present form of emotional reaction. Interpretation Reason: The listener correctly identifies the situation as negative by stating ""that is not good."" This demonstrates a basic, surface-level understanding of the speaker's predicament. However, it is a generic interpretation that doesn't reflect any deeper insight into the speaker's specific feelings of stress. Exploration Reason: The statement is purely a reaction to the information provided. It does not contain any questions or prompts to encourage the speaker to elaborate. There is no attempt to explore the speaker's experience or feelings further. Detailed Reason: While the text offers a basic acknowledgment of the problem, the vocal delivery is highly unnatural and performative. The stilted, almost robotic cadence sounds inauthentic and fails to create a sense of genuine connection or support. The combination of weak content and misattuned tone results in a low-empathy response.","[Empathy Reason]: The listener's performative and stilted tone undermines the simple, generic acknowledgment in the text."
dataset_1_axis_annotated,7,Did you finally find it,1,1,1,0,0,0,low,"Vocal Warmth Reason: The listener's tone is neutral and inquisitive rather than warm or compassionate. It lacks the soothing quality that would convey emotional support for the speaker's distress. The delivery is straightforward and lacks any notable affective warmth. Perceived Genuineness Reason: The question sounds like a genuine, if detached, inquiry about the outcome. It is not sarcastic or performative, but it also lacks the emotional congruence that would signal deep engagement. The tone is simple and direct, making it feel authentic in its curiosity but not in its emotional connection. Prosodic Attunement Reason: The delivery is natural for a simple question, with a standard rising intonation at the end. However, the pacing is slightly quick and lacks the expressiveness needed to attune to the speaker's stated fear and nervousness. It doesn't mirror or acknowledge the gravity of the speaker's emotional state. Emotional Reaction Reason: The text is a purely logistical question focused on the resolution of the problem. It contains no words that express sympathy, care, or any other emotional response. The listener moves directly to fact-finding without acknowledging the speaker's feelings. Interpretation Reason: The question completely bypasses the speaker's stated feelings of being 'scared' and 'nervous.' It demonstrates no understanding or reflection of the emotional impact of the situation. The focus is entirely on the practical outcome, not the speaker's internal experience. Exploration Reason: This is a closed-ended, fact-finding question that does not explore the speaker's feelings or experience. It seeks a 'yes' or 'no' answer about the documents, shutting down further discussion of the emotional turmoil. It does not probe the speaker's fear or how they coped with it. Detailed Reason: The listener's neutral tone and purely logistical question ignore the speaker's stated feelings of being scared and nervous. By jumping directly to the resolution, the response fails to validate the emotional experience the speaker just shared. This combination of detached tone and content creates a misattuned and unempathetic interaction.","[Empathy Reason]: The response bypasses the speaker's expressed fear, focusing only on the practical outcome."
dataset_1_axis_annotated,8,I watched the first season.,1,1,1,0,0,0,low,"Vocal Warmth Reason: The tone is neutral and declarative, simply conveying factual information. It is not cold or dismissive, but it also lacks any notable warmth or compassion. The delivery is straightforward and matter-of-fact. Perceived Genuineness Reason: The voice sounds direct and neutral, which is appropriate for a simple factual answer. It does not come across as deceptive or performative. The delivery is straightforward without any emotional pretense. Prosodic Attunement Reason: The pacing is natural for a short sentence. However, the prosody is relatively flat and lacks expressive range. It's a simple declarative statement without much dynamic variation. Emotional Reaction Reason: The text is a purely factual statement answering a direct question. It does not contain any words that express an emotional reaction. The response is informational, not emotional. Interpretation Reason: The listener directly answers the speaker's question about watching the show. There is no attempt to interpret any underlying meaning or feeling from the speaker. The response is a simple statement of fact. Exploration Reason: The statement ""I watched the first season"" is a declarative sentence. It does not ask any questions or encourage the speaker to share more. It serves as an answer, not a prompt for further conversation. Detailed Reason: The listener's neutral, matter-of-fact tone aligns with the purely informational content of the response. The statement directly answers the speaker's question but does not engage with them on an emotional or interpersonal level. This combination of a non-expressive tone and a lack of EIE results in a low empathy interaction.",[Empathy Reason]: The response is purely transactional and lacks any emotional or interpersonal connection.
dataset_1_axis_annotated,9,What? It's ending? I heard he hasn't yet finished the books.,0,1,0,0,0,0,low,"Vocal Warmth Reason: The listener's tone is sharp and incredulous, not warm or supportive. The pitch rises abruptly on ""What?"" and ""ending?"", conveying surprise rather than compassion. This vocal quality is emotionally mismatched with the speaker's expressed sadness. Perceived Genuineness Reason: The surprise in the listener's voice sounds authentic, as if they are genuinely hearing this news for the first time. However, the response is detached from the speaker's emotional state, making it feel neutral rather than sincerely engaged with their feelings. The genuineness is directed at the information, not the person's emotion. Prosodic Attunement Reason: The listener's prosody is expressive of shock, but it is not attuned to the speaker's sadness. The quick pacing and sharp, questioning intonation create a jarring contrast to the speaker's likely more somber tone. This lack of mirroring makes the interaction feel disconnected. Emotional Reaction Reason: The text contains no emotional reaction to the speaker's statement of sadness. The response is composed entirely of questions and a statement of fact. It completely bypasses the emotional content of the speaker's previous turn. Interpretation Reason: The listener demonstrates no understanding of the speaker's feelings. Instead of acknowledging the sadness, the listener pivots to the logistics of the show's ending and the books. This shows a focus on the topic, not the speaker's emotional experience. Exploration Reason: The questions asked are purely informational and do not explore the speaker's feelings. ""What? It's ending?"" seeks to confirm a fact, not to understand the speaker's sadness. There is no attempt to probe the speaker's emotional state. Detailed Reason: The listener's sharp, surprised tone is misaligned with the speaker's sadness, creating an emotional disconnect. The content completely ignores the speaker's emotional disclosure, instead pivoting to factual questions about the show. This combination of misattuned prosody and a non-validating response demonstrates a clear lack of empathy.","[Empathy Reason]: The response ignores the speaker's expressed sadness, focusing only on factual information with a misattuned, surprised tone."
